Machine_ID,Timestamp,Temperature,Pressure,Vibration_Level,Humidity,Power_Consumption,Failure_Status
MACHINE_057,2025-01-01 09:20:00,33.34,229.99,5.31,41.85,47.6,0
MACHINE_058,2025-01-01 09:30:00,78.56,139.95,0.2,73.21,37.65,0
MACHINE_059,2025-01-01 09:40:00,68.09,309.42,1.58,74.13,29.24,0
MACHINE_060,2025-01-01 09:50:00,68.17,145.23,0.74,56.79,5.23,0
MACHINE_061,2025-01-01 10:00:00,47.18,429.08,5.98,48.5,97.68,0
MACHINE_062,2025-01-01 10:10:00,68.06,146.97,8.52,38.92,55.54,0
MACHINE_063,2025-01-01 10:20:00,66.8,101.78,7.69,51.38,41.95,0
MACHINE_064,2025-01-01 10:30:00,28.22,441.86,1.93,46.38,55.82,0
MACHINE_065,2025-01-01 10:40:00,48.19,147.46,6.21,65.03,74.39,0
MACHINE_066,2025-01-01 10:50:00,74.83,303.22,1.05,67.55,43.26,0
MACHINE_067,2025-01-01 11:00:00,79.13,286.27,5.37,58.81,66.12,1
MACHINE_068,2025-01-01 11:10:00,44.01,349.27,6.28,62.61,26.47,0
MACHINE_069,2025-01-01 11:20:00,40.9,357.27,9.71,42.04,61.29,0
MACHINE_070,2025-01-01 11:30:00,43.83,185.22,3.51,84.68,19.22,0
MACHINE_071,2025-01-01 11:40:00,64.49,379.27,3.4,70.89,72.78,0
MACHINE_072,2025-01-01 11:50:00,68.83,260.37,7.97,55.92,88.39,0
MACHINE_073,2025-01-01 12:00:00,22.74,111.8,4.82,65.14,37.27,0
MACHINE_074,2025-01-01 12:10:00,67.34,247.95,9.58,76.21,52.52,0
MACHINE_075,2025-01-01 12:20:00,25.53,112.96,9.94,74.61,76.63,1
MACHINE_076,2025-01-01 12:30:00,26.5,112.19,2.95,89.11,49.09,1
MACHINE_077,2025-01-01 12:40:00,34.3,174.34,3.15,67.21,10.26,0
MACHINE_078,2025-01-01 12:50:00,49.95,162.07,8.35,59.95,87.2,0
MACHINE_079,2025-01-01 13:00:00,41.09,271.85,1.09,87.21,69.66,0
MACHINE_080,2025-01-01 13:10:00,27.71,494.34,8.69,40.08,25.17,1
MACHINE_081,2025-01-01 13:20:00,52.61,364.27,1.46,32.19,9.89,0
MACHINE_082,2025-01-01 13:30:00,58.55,203.71,5.96,46.3,34.39,0
MACHINE_083,2025-01-01 13:40:00,23.51,219.31,2.81,36.34,38.28,1
MACHINE_084,2025-01-01 13:50:00,52.94,260.76,4.66,88.81,11.42,0
MACHINE_085,2025-01-01 14:00:00,27.09,447.38,5.85,64.78,74.51,0
MACHINE_086,2025-01-01 14:10:00,39.57,439.34,9.11,65.72,76.07,0
MACHINE_087,2025-01-01 14:20:00,57.75,417.24,0.74,32.8,32.93,0
MACHINE_088,2025-01-01 14:30:00,26.58,390.48,2.9,81.76,40.86,0
MACHINE_089,2025-01-01 14:40:00,25.37,110.63,2.69,41.43,17.78,0
MACHINE_090,2025-01-01 14:50:00,42.27,153.46,3.68,86.08,95.6,0
MACHINE_091,2025-01-01 15:00:00,26.55,457.75,9.58,42.05,96.74,0
MACHINE_092,2025-01-01 15:10:00,68.51,430.48,3.83,68.25,22.12,0
MACHINE_093,2025-01-01 15:20:00,35.75,480.58,5.44,53.68,32.62,0
MACHINE_094,2025-01-01 15:30:00,73.65,114.84,3.64,60.54,74.49,0
MACHINE_095,2025-01-01 15:40:00,74.74,104.8,9.29,57.55,74.65,0
MACHINE_096,2025-01-01 15:50:00,48.36,404.87,5.7,73.26,6.42,1
MACHINE_097,2025-01-01 16:00:00,50.19,146.09,9.68,42.59,60.47,0
MACHINE_098,2025-01-01 16:10:00,30.85,304.75,5.34,77.21,40.69,0
MACHINE_099,2025-01-01 16:20:00,77.83,229.19,6.19,86.79,70.38,1
MACHINE_100,2025-01-01 16:30:00,40.15,302.91,8.4,86.21,32.49,0
MACHINE_101,2025-01-01 16:40:00,63.77,161.64,4.56,81.38,30.14,0
MACHINE_102,2025-01-01 16:50:00,70.77,231.47,6.92,46.11,87.17,0
MACHINE_103,2025-01-01 17:00:00,32.85,281.71,6.66,81.39,96.1,1
MACHINE_104,2025-01-01 17:10:00,31.79,252.48,7.49,58.58,99.09,0
MACHINE_105,2025-01-01 17:20:00,75.52,495.01,9.24,40.21,25.02,0
MACHINE_106,2025-01-01 17:30:00,72.27,346.17,3.72,87.42,47.81,0
MACHINE_107,2025-01-01 17:40:00,62.93,207.91,4.48,64.72,29.59,0
MACHINE_108,2025-01-01 17:50:00,57.5,116.68,0.35,41.99,87.77,0
MACHINE_109,2025-01-01 18:00:00,71.09,444.1,2.6,34.9,75.52,0
MACHINE_110,2025-01-01 18:10:00,48.87,413.1,6.41,37.82,64.51,0
MACHINE_111,2025-01-01 18:20:00,43.24,136.06,3.0,65.82,33.02,0
MACHINE_112,2025-01-01 18:30:00,44.25,403.48,0.98,74.28,14.37,0
MACHINE_113,2025-01-01 18:40:00,51.91,203.55,8.37,77.83,49.8,0
MACHINE_114,2025-01-01 18:50:00,58.45,312.47,5.38,81.58,74.71,0
MACHINE_115,2025-01-01 19:00:00,71.81,348.67,3.4,37.92,45.53,0
MACHINE_116,2025-01-01 19:10:00,55.47,173.7,8.71,75.39,30.94,1
MACHINE_117,2025-01-01 19:20:00,28.84,435.98,6.51,31.65,20.27,0
MACHINE_118,2025-01-01 19:30:00,76.89,432.46,2.47,51.04,18.35,0
MACHINE_119,2025-01-01 19:40:00,79.27,167.55,9.73,75.54,73.41,0
MACHINE_120,2025-01-01 19:50:00,55.73,466.55,5.43,41.06,57.98,1
MACHINE_121,2025-01-01 20:00:00,21.66,360.73,2.74,47.43,24.99,1
MACHINE_122,2025-01-01 20:10:00,74.64,281.11,8.17,70.68,40.2,0
MACHINE_123,2025-01-01 20:20:00,24.06,338.69,6.85,58.14,69.27,0
MACHINE_124,2025-01-01 20:30:00,28.8,439.04,3.15,70.67,24.17,0
MACHINE_125,2025-01-01 20:40:00,60.26,492.32,3.6,30.81,62.75,0
MACHINE_126,2025-01-01 20:50:00,78.42,205.22,2.6,32.92,6.16,0
MACHINE_127,2025-01-01 21:00:00,54.79,120.59,4.39,38.0,71.76,0
MACHINE_128,2025-01-01 21:10:00,50.54,178.0,1.27,47.43,6.6,0
MACHINE_129,2025-01-01 21:20:00,55.14,406.69,1.37,83.53,19.48,0
MACHINE_130,2025-01-01 21:30:00,78.7,292.46,1.35,82.06,51.65,0
MACHINE_131,2025-01-01 21:40:00,63.89,187.17,2.67,49.66,14.13,0
MACHINE_132,2025-01-01 21:50:00,54.55,199.02,9.18,75.46,51.14,0
MACHINE_133,2025-01-01 22:00:00,23.07,317.28,3.0,45.91,95.48,0
MACHINE_134,2025-01-01 22:10:00,26.45,393.1,3.43,67.29,85.38,1
MACHINE_135,2025-01-01 22:20:00,78.46,453.71,7.34,89.03,45.02,0
MACHINE_136,2025-01-01 22:30:00,26.42,154.34,2.04,82.99,81.19,0
MACHINE_137,2025-01-01 22:40:00,43.62,378.32,8.26,54.76,89.42,0
MACHINE_138,2025-01-01 22:50:00,60.89,137.88,8.82,84.02,90.08,0
MACHINE_139,2025-01-01 23:00:00,24.13,442.13,2.24,75.79,51.4,0
MACHINE_140,2025-01-01 23:10:00,76.15,387.95,8.93,66.86,57.4,1
MACHINE_141,2025-01-01 23:20:00,53.85,437.7,1.21,62.9,18.19,0
MACHINE_142,2025-01-01 23:30:00,47.72,193.83,7.53,84.5,14.11,0
MACHINE_143,2025-01-01 23:40:00,36.67,140.19,9.25,87.35,54.76,0
MACHINE_144,2025-01-01 23:50:00,79.26,486.36,7.75,59.51,76.85,0
MACHINE_145,2025-01-02 00:00:00,47.14,178.9,2.95,86.14,59.08,0
MACHINE_146,2025-01-02 00:10:00,76.41,300.9,8.33,44.14,11.35,0
MACHINE_147,2025-01-02 00:20:00,37.16,453.98,1.14,75.42,19.02,0
MACHINE_148,2025-01-02 00:30:00,75.33,465.51,9.93,73.86,78.25,0
MACHINE_149,2025-01-02 00:40:00,25.73,384.6,6.16,37.39,40.03,0
MACHINE_150,2025-01-02 00:50:00,70.71,270.17,4.62,60.8,16.37,0
MACHINE_151,2025-01-02 01:00:00,54.96,169.22,3.48,84.27,99.29,0
MACHINE_152,2025-01-02 01:10:00,47.68,377.78,3.06,49.47,94.27,0
MACHINE_153,2025-01-02 01:20:00,41.24,427.95,2.84,86.72,82.11,0
MACHINE_154,2025-01-02 01:30:00,43.19,392.59,6.91,53.73,42.99,0
MACHINE_155,2025-01-02 01:40:00,57.57,490.23,1.17,83.93,44.02,0
MACHINE_156,2025-01-02 01:50:00,54.94,223.77,1.78,65.88,55.34,0
MACHINE_157,2025-01-02 02:00:00,27.92,446.95,1.46,39.12,95.31,0
MACHINE_158,2025-01-02 02:10:00,48.25,166.02,1.99,68.67,86.18,0
MACHINE_159,2025-01-02 02:20:00,51.94,449.66,1.55,56.97,7.64,0
MACHINE_160,2025-01-02 02:30:00,52.13,309.02,7.43,83.06,61.18,0
MACHINE_161,2025-01-02 02:40:00,41.19,148.87,5.05,66.55,72.4,0
MACHINE_162,2025-01-02 02:50:00,49.77,225.61,9.61,85.47,15.66,0
MACHINE_163,2025-01-02 03:00:00,39.8,132.52,2.82,41.85,66.39,0
MACHINE_164,2025-01-02 03:10:00,39.85,386.48,4.66,61.84,46.88,0
MACHINE_165,2025-01-02 03:20:00,79.78,235.52,3.56,52.73,76.96,0
MACHINE_166,2025-01-02 03:30:00,20.18,415.24,9.17,56.37,62.33,0
MACHINE_167,2025-01-02 03:40:00,34.11,329.11,9.18,43.96,15.35,0
MACHINE_168,2025-01-02 03:50:00,45.76,281.4,3.48,30.59,73.09,0
MACHINE_169,2025-01-02 04:00:00,60.02,339.57,4.13,51.01,86.23,1
MACHINE_170,2025-01-02 04:10:00,43.0,422.66,7.53,54.14,48.6,0
MACHINE_171,2025-01-02 04:20:00,23.02,384.71,2.77,55.67,38.52,1
MACHINE_172,2025-01-02 04:30:00,31.74,181.13,6.53,81.06,25.97,0
MACHINE_173,2025-01-02 04:40:00,74.81,282.0,1.79,51.04,35.23,0
MACHINE_174,2025-01-02 04:50:00,21.31,411.77,5.98,35.84,76.67,0
MACHINE_175,2025-01-02 05:00:00,31.19,326.73,1.84,78.02,34.05,0
MACHINE_176,2025-01-02 05:10:00,58.88,464.59,1.84,61.24,73.82,0
MACHINE_177,2025-01-02 05:20:00,38.87,220.87,2.88,66.78,33.77,0
MACHINE_178,2025-01-02 05:30:00,67.48,208.11,5.58,87.76,60.47,0
MACHINE_179,2025-01-02 05:40:00,71.48,200.4,1.47,88.13,30.17,0
MACHINE_180,2025-01-02 05:50:00,43.45,402.03,2.14,79.79,70.77,0
MACHINE_181,2025-01-02 06:00:00,34.46,284.93,9.84,36.14,96.65,0
MACHINE_182,2025-01-02 06:10:00,71.82,161.25,7.66,46.58,28.89,1
MACHINE_183,2025-01-02 06:20:00,77.38,242.44,8.99,36.5,39.03,0
MACHINE_184,2025-01-02 06:30:00,66.4,281.69,4.43,83.86,68.19,0
MACHINE_185,2025-01-02 06:40:00,73.82,207.41,9.07,75.02,68.38,0
MACHINE_186,2025-01-02 06:50:00,50.14,137.74,5.01,67.34,82.07,0
MACHINE_187,2025-01-02 07:00:00,49.87,395.42,9.37,38.56,69.03,0
MACHINE_188,2025-01-02 07:10:00,39.18,342.77,8.43,76.51,74.79,0
MACHINE_189,2025-01-02 07:20:00,35.26,337.92,4.4,80.93,33.74,0
MACHINE_190,2025-01-02 07:30:00,33.6,243.41,8.77,32.83,86.19,0
MACHINE_191,2025-01-02 07:40:00,72.17,408.42,5.13,62.19,78.26,0
MACHINE_192,2025-01-02 07:50:00,76.7,236.97,4.66,32.93,46.33,0
MACHINE_193,2025-01-02 08:00:00,59.91,207.76,4.69,38.18,67.77,0
MACHINE_194,2025-01-02 08:10:00,44.57,238.94,2.23,85.52,59.15,0
MACHINE_195,2025-01-02 08:20:00,70.8,106.55,2.86,35.18,39.18,0
MACHINE_196,2025-01-02 08:30:00,64.14,136.73,4.4,63.33,61.15,0
MACHINE_197,2025-01-02 08:40:00,28.45,499.74,5.48,74.84,52.92,0
MACHINE_198,2025-01-02 08:50:00,70.45,189.17,6.15,65.49,54.58,0
MACHINE_199,2025-01-02 09:00:00,52.79,360.57,2.59,57.88,10.14,0
MACHINE_200,2025-01-02 09:10:00,23.3,185.19,2.34,87.55,85.4,0
MACHINE_201,2025-01-02 09:20:00,48.6,364.08,5.4,48.87,5.45,0
MACHINE_202,2025-01-02 09:30:00,52.95,240.84,7.55,76.89,50.88,0
MACHINE_203,2025-01-02 09:40:00,41.98,166.53,5.89,51.83,82.41,0
MACHINE_204,2025-01-02 09:50:00,71.79,135.61,9.65,51.2,55.25,1
MACHINE_205,2025-01-02 10:00:00,76.67,130.04,4.58,47.84,60.36,0
MACHINE_206,2025-01-02 10:10:00,57.02,222.0,1.25,75.58,64.57,0
MACHINE_207,2025-01-02 10:20:00,66.67,142.65,9.41,47.46,37.14,0
MACHINE_208,2025-01-02 10:30:00,56.48,223.81,7.09,43.16,82.59,0
MACHINE_209,2025-01-02 10:40:00,62.12,212.73,9.55,73.49,54.91,0
MACHINE_210,2025-01-02 10:50:00,30.56,493.81,9.54,50.92,71.79,0
MACHINE_211,2025-01-02 11:00:00,74.34,226.51,2.58,47.02,94.58,0
MACHINE_212,2025-01-02 11:10:00,76.44,479.91,3.48,35.22,67.48,0
MACHINE_213,2025-01-02 11:20:00,45.66,437.85,7.62,66.37,23.95,0
MACHINE_214,2025-01-02 11:30:00,59.79,321.24,7.6,83.38,92.21,0
MACHINE_215,2025-01-02 11:40:00,32.92,329.37,5.2,47.93,97.32,0
MACHINE_216,2025-01-02 11:50:00,33.63,375.3,4.45,52.55,44.24,0
MACHINE_217,2025-01-02 12:00:00,25.84,429.17,6.36,50.05,86.93,0
MACHINE_218,2025-01-02 12:10:00,20.47,432.28,2.54,88.62,77.18,0
MACHINE_219,2025-01-02 12:20:00,48.4,281.25,8.99,54.45,51.57,0
MACHINE_220,2025-01-02 12:30:00,79.49,308.56,5.55,81.45,41.46,0
MACHINE_221,2025-01-02 12:40:00,38.97,300.71,2.85,49.92,28.37,0
MACHINE_222,2025-01-02 12:50:00,55.74,301.64,6.83,84.2,77.63,0
MACHINE_223,2025-01-02 13:00:00,53.4,188.15,4.63,30.78,82.85,0
MACHINE_224,2025-01-02 13:10:00,65.76,143.29,5.15,83.71,99.58,0
MACHINE_225,2025-01-02 13:20:00,31.14,383.48,1.59,89.17,66.58,1
MACHINE_226,2025-01-02 13:30:00,41.37,142.65,2.98,73.48,69.05,0
MACHINE_227,2025-01-02 13:40:00,68.76,467.13,4.05,45.47,89.84,0
MACHINE_228,2025-01-02 13:50:00,47.4,454.33,6.26,68.68,47.37,1
MACHINE_229,2025-01-02 14:00:00,68.05,203.88,3.31,40.71,30.41,0
MACHINE_230,2025-01-02 14:10:00,44.8,318.02,4.44,66.35,88.19,1
MACHINE_231,2025-01-02 14:20:00,31.5,365.02,3.81,86.25,27.36,0
MACHINE_232,2025-01-02 14:30:00,71.15,136.25,4.29,39.18,44.31,0
MACHINE_233,2025-01-02 14:40:00,56.66,455.15,7.24,62.92,11.09,0
MACHINE_234,2025-01-02 14:50:00,33.16,397.38,5.24,55.78,64.07,0
MACHINE_235,2025-01-02 15:00:00,62.67,431.05,0.51,66.24,78.45,1
MACHINE_236,2025-01-02 15:10:00,23.04,222.9,4.02,67.81,83.7,0
MACHINE_237,2025-01-02 15:20:00,20.55,450.85,9.57,44.83,99.07,0
MACHINE_238,2025-01-02 15:30:00,66.18,401.96,0.73,64.1,34.12,0
MACHINE_239,2025-01-02 15:40:00,24.05,484.64,3.08,51.41,21.99,1
MACHINE_240,2025-01-02 15:50:00,43.18,198.22,1.65,51.24,70.98,0
MACHINE_241,2025-01-02 16:00:00,73.53,212.8,4.67,68.99,67.73,0
MACHINE_242,2025-01-02 16:10:00,48.55,388.37,7.81,51.13,37.36,0
MACHINE_243,2025-01-02 16:20:00,73.05,359.21,2.22,85.65,92.85,0
MACHINE_244,2025-01-02 16:30:00,44.16,228.25,2.28,47.14,72.31,0
MACHINE_245,2025-01-02 16:40:00,20.94,472.45,7.44,78.99,90.16,0
MACHINE_246,2025-01-02 16:50:00,58.5,293.99,8.26,72.21,78.52,0
MACHINE_247,2025-01-02 17:00:00,36.05,110.09,6.43,75.12,97.62,0
MACHINE_248,2025-01-02 17:10:00,36.2,367.13,0.85,68.26,25.65,0
MACHINE_249,2025-01-02 17:20:00,26.66,379.45,6.02,47.49,18.55,1
MACHINE_250,2025-01-02 17:30:00,36.25,161.06,8.04,85.97,57.99,0
MACHINE_251,2025-01-02 17:40:00,78.17,171.71,7.09,45.05,22.37,0
MACHINE_252,2025-01-02 17:50:00,66.25,445.79,7.7,84.13,42.36,1
MACHINE_253,2025-01-02 18:00:00,21.26,109.4,5.86,78.9,7.36,0
MACHINE_254,2025-01-02 18:10:00,30.15,317.41,8.26,82.24,15.13,0
MACHINE_255,2025-01-02 18:20:00,42.12,125.1,9.97,84.07,81.16,1
MACHINE_256,2025-01-02 18:30:00,49.18,106.36,6.03,88.01,92.81,0
MACHINE_257,2025-01-02 18:40:00,47.66,273.23,2.35,42.9,82.47,0
MACHINE_258,2025-01-02 18:50:00,62.74,260.75,6.46,50.67,47.34,1
MACHINE_259,2025-01-02 19:00:00,76.31,359.24,2.28,84.2,39.0,0
MACHINE_260,2025-01-02 19:10:00,66.14,144.53,5.27,46.04,46.98,0
MACHINE_261,2025-01-02 19:20:00,21.14,458.26,7.59,65.13,25.66,0
MACHINE_262,2025-01-02 19:30:00,58.53,149.8,8.63,84.04,49.62,1
MACHINE_263,2025-01-02 19:40:00,29.69,351.92,3.81,60.71,18.73,0
MACHINE_264,2025-01-02 19:50:00,34.21,255.58,2.81,32.8,92.0,0
MACHINE_265,2025-01-02 20:00:00,39.36,128.36,4.85,82.19,11.21,0
MACHINE_266,2025-01-02 20:10:00,59.97,232.01,7.53,83.75,56.91,1
MACHINE_267,2025-01-02 20:20:00,51.02,361.4,2.22,68.92,46.95,0
MACHINE_268,2025-01-02 20:30:00,51.24,491.75,2.9,61.31,10.18,0
MACHINE_269,2025-01-02 20:40:00,45.99,187.02,2.31,60.78,55.7,0
MACHINE_270,2025-01-02 20:50:00,68.24,354.66,9.38,45.9,98.34,0
MACHINE_271,2025-01-02 21:00:00,20.98,255.21,0.36,42.67,13.87,0
MACHINE_272,2025-01-02 21:10:00,20.69,239.88,4.75,39.03,87.22,0
MACHINE_273,2025-01-02 21:20:00,76.81,257.11,9.77,75.62,85.1,0
MACHINE_274,2025-01-02 21:30:00,29.67,456.61,7.02,63.0,72.92,0
MACHINE_275,2025-01-02 21:40:00,71.06,481.4,0.9,47.52,8.28,0
MACHINE_276,2025-01-02 21:50:00,25.13,310.39,8.77,60.06,33.66,0
MACHINE_277,2025-01-02 22:00:00,54.63,146.71,1.01,44.1,89.6,0
MACHINE_278,2025-01-02 22:10:00,75.29,268.6,0.97,48.28,51.09,0
MACHINE_279,2025-01-02 22:20:00,79.03,311.68,5.85,89.68,86.46,0
MACHINE_280,2025-01-02 22:30:00,61.76,421.32,7.11,63.89,22.69,0
MACHINE_281,2025-01-02 22:40:00,38.9,274.91,4.58,50.18,41.77,0
MACHINE_282,2025-01-02 22:50:00,52.13,146.96,8.81,61.97,85.94,0
MACHINE_283,2025-01-02 23:00:00,36.0,492.35,2.67,39.84,70.29,0
MACHINE_284,2025-01-02 23:10:00,49.29,244.69,0.85,30.84,65.42,0
MACHINE_285,2025-01-02 23:20:00,51.59,334.49,8.19,79.68,88.99,1
MACHINE_286,2025-01-02 23:30:00,28.39,469.89,9.72,56.84,21.09,1
MACHINE_287,2025-01-02 23:40:00,33.65,264.83,4.83,68.65,21.77,0
MACHINE_288,2025-01-02 23:50:00,29.3,129.07,9.43,49.75,42.27,0
MACHINE_289,2025-01-03 00:00:00,49.37,153.73,2.06,75.29,83.22,1
MACHINE_290,2025-01-03 00:10:00,23.87,170.23,0.59,88.51,89.9,0
MACHINE_291,2025-01-03 00:20:00,23.01,406.17,2.88,86.23,10.68,0
MACHINE_292,2025-01-03 00:30:00,75.96,123.51,1.9,60.57,9.82,0
MACHINE_293,2025-01-03 00:40:00,32.69,227.99,0.9,86.43,89.46,0
MACHINE_294,2025-01-03 00:50:00,27.51,116.0,9.1,65.85,52.31,0
MACHINE_295,2025-01-03 01:00:00,21.77,330.33,6.49,64.21,8.26,0
MACHINE_296,2025-01-03 01:10:00,20.47,327.12,8.73,35.72,10.54,0
MACHINE_297,2025-01-03 01:20:00,34.44,343.43,2.91,35.5,41.82,0
MACHINE_298,2025-01-03 01:30:00,50.93,350.86,3.64,79.15,61.7,0
MACHINE_299,2025-01-03 01:40:00,31.35,438.2,7.86,58.59,64.27,0
MACHINE_300,2025-01-03 01:50:00,63.54,317.25,8.95,56.56,34.29,0
MACHINE_301,2025-01-03 02:00:00,75.29,354.99,0.5,35.08,10.76,0
MACHINE_302,2025-01-03 02:10:00,26.53,208.43,6.24,74.91,46.67,0
MACHINE_303,2025-01-03 02:20:00,70.21,166.56,9.45,52.49,46.2,0
MACHINE_304,2025-01-03 02:30:00,66.63,440.04,9.92,57.8,13.13,0
MACHINE_305,2025-01-03 02:40:00,27.63,272.1,2.95,30.54,99.95,0
MACHINE_306,2025-01-03 02:50:00,46.04,310.31,3.16,84.93,32.72,0
MACHINE_307,2025-01-03 03:00:00,31.91,157.78,1.37,61.15,97.28,0
MACHINE_308,2025-01-03 03:10:00,38.92,245.18,2.61,86.86,15.11,1
MACHINE_309,2025-01-03 03:20:00,64.24,284.68,7.32,85.84,75.9,0
MACHINE_310,2025-01-03 03:30:00,46.14,182.07,5.32,33.74,72.45,0
MACHINE_311,2025-01-03 03:40:00,51.71,228.13,4.92,84.9,54.24,0
MACHINE_312,2025-01-03 03:50:00,50.12,381.1,6.27,85.44,53.17,0
MACHINE_313,2025-01-03 04:00:00,35.97,420.54,7.5,87.2,57.08,0
MACHINE_314,2025-01-03 04:10:00,23.53,318.52,2.34,42.21,20.97,0
MACHINE_315,2025-01-03 04:20:00,57.24,124.77,8.85,34.53,46.0,0
MACHINE_316,2025-01-03 04:30:00,71.29,498.26,4.14,52.06,5.68,0
MACHINE_317,2025-01-03 04:40:00,56.14,277.82,6.76,61.26,14.65,0
MACHINE_318,2025-01-03 04:50:00,35.75,477.4,0.39,36.83,90.05,0
MACHINE_319,2025-01-03 05:00:00,62.16,315.6,8.57,84.26,25.12,0
MACHINE_320,2025-01-03 05:10:00,41.2,439.16,9.42,33.67,9.37,0
MACHINE_321,2025-01-03 05:20:00,48.7,350.85,5.43,49.13,82.55,0
MACHINE_322,2025-01-03 05:30:00,55.76,434.23,9.0,67.75,45.17,0
MACHINE_323,2025-01-03 05:40:00,29.11,221.79,7.3,48.31,98.87,1
